13	101.88	3	1.7465	286.33232	0	0	24	21	6	7	13	1	80.4039	10	0	0	1.1	10	1.0286909091
14	80.32	2	3.4794	396.45954	0	0	33	30	7	6	16	0	117.4911	17	1	0	7.6	20	6.2728181818
2.2	325.75	14	-9.5907	646.61276	0	0	49	46	20	18	48	1	137.9468	0	1	0	2.4	13	1.1624848485
10	92.24	3	1.4123	337.43386	0	0	26	26	7	5	18	2	96.3114	6	1	0	2.8	11	1.7535454546
4	62.64	3	0.7634	278.36996	0	0	21	21	5	4	13	2	81.9396	6	1	0	6.4281428571	6.6	1.8651818182
5	49.33	2	1.4236	151.16256	0	0	11	11	3	3	4	1	42.7777	6	0	0	4.5845714286	10	1.2848181818
0.65	151.66	2	0.998	222.24544	0	0	13	13	7	8	5	3	45.2161	5	0	0	9.5	10	1.1155454546
3.1	108.03	2	-1.4383	162.18692	0	0	9	10	4	5	7	2	36.9092	0	0	1	3	10	0.5016363636
5.4	30.74	1	3.2375	354.50568	0	0	28	27	3	2	15	1	109.2867	12	1	0	26	22	8.0959090909
12	66.43	0	-0.0246	179.14948	0	0	13	13	3	4	5	2	42.958	6	0	1	3.0835714286	8.8	0.2488818182
0.69	89.36	1	-2.8764	178.57368	0	0	14	14	6	4	12	2	40.7216	0	1	1	12	10	0.5737272727
4.7	119.05	3	-0.7506	225.20464	0	0	18	17	7	7	7	1	55.6759	10	0	0	2.5	10	1.0579090909
3.7	151.85	1	1.0179	271.169861	0	0	19	18	6	9	8	1	59.6109	10	0	2	1.9	10	0.5804
6.2	47.51	1	1.3518	352.84066	0	0	29	26	4	4	11	1	104.4187	17	1	0	2.6	11	1.4687272727
7.8	77.3	4	0.2798	240.31868	0	0	19	19	5	3	13	0	68.853	6	1	0	4.1	10	1.7502727273
1.3	46.94	2	5.5232	666.8934	0	0	60	50	4	4	42	6	215.9236	12	2	0	4.1	22	76.0995454545
3.9	86.69	1	1.536	417.52512	0	0	33	31	7	8	20	2	120.3937	11	1	0	1.9	11	1.2663636364
5.9	111.83	2	2.3228	389.44878	0	0	30	28	9	9	18	1	106.7551	11	0	0	4.2	10	1.4991818182
6.6	84.34	3	1.8897	316.37818	0	0	27	25	7	5	15	2	92.2116	10	1	0	4	10	1.9586363636
11	74.43	2	-0.3538	136.11146	0	0	13	12	5	3	2	1	34.5094	10	0	0	0.88	10	0.6465
8.9	65.99	2	1.7992	336.47224	0	0	27	25	5	3	15	2	99.6944	10	1	0	4.2	8.6	2.16
8.7	53.92	1	2.3462	294.35102	0	0	26	23	4	4	10	1	89.4632	15	0	0	2.1	10	1.2116818182
0.74	43.07	0	3.0157	308.76492	0	0	25	22	3	4	7	1	90.651	17	0	0	18	14	1.2504545455
15	46.07	2	1.1266	250.35656	0	0	20	20	4	2	13	1	76.2962	6	1	0	3.6	10	3.1236363636
4.8	27.64	1	1.1971	152.25662	0	0	16	14	3	0	16	0	47.8451	0	1	0	23	16	8.9512045455
6.3	102.95	1	-1.9721	325.42642	0	0	25	23	6	6	22	3	93.5112	0	1	1	1	8.8	0.5749090909
1.1	338.42	13	-10.9005	589.63428	0	0	54	52	26	14	53	1	134.0225	0	4	0	8.8421428571	22	0.2161818182
9.3	86.38	2	-0.0809	152.12744	0	0	11	11	3	4	4	1	37.8864	6	0	1	3.1124285714	10	0.3401818182
1.9	43.88	1	5.5191	646.31954	0	0	34	32	3	3	17	1	145.5902	16	1	0	620	820	39.2533636364
6.1	4.44	1	2.7515	278.41126	0	0	24	22	1	0	11	1	92.2197	12	1	0	24	16	9.1913636364
7	101.5	2	1.8783	409.88384	0	0	32	31	9	6	22	4	110.1838	6	1	0	40	10	2.4009090909
3.3	162.71	3	-1.699	365.40416	0	0	30	28	10	8	21	3	93.9023	6	1	1	1.3	13	0.269
9.7	27.64	1	0.8595	136.21416	0	0	13	13	3	0	7	0	44.9871	6	1	0	10	16	6.2013636364
2.8	142.48	2	-1.4046	349.40476	0	0	29	27	9	7	20	3	91.8793	6	1	1	1.3	11	0.2667272727
8.9	71.77	2	1.6003	187.19796	0	0	16	15	4	3	3	1	54.6981	12	0	0	2.4	10	1.2774545455
4.3	88.7	2	5.7385	393.45886	0	0	31	28	6	5	7	2	113.5544	22	0	0	22.44	13	1.4211818182
2.6	117.8	3	5.7974	464.53676	0	0	36	33	8	7	11	3	131.5166	22	0	0	1.9	20	0.9615454545
0.21	377.42	14	0.6548	1140.23692	0	0	88	82	24	24	57	7	316.9704	24	0	0	45	17	1.3110545455
0.64	26.93	0	1.4844	188.22578	0	0	15	14	1	3	3	1	56.257	11	0	0	20	16	1.1791818182
1	84.44	3	5.1042	535.4346024	0	7	43	40	7	4	25	1	119.7821	17	1	0	16	20	2.7172727273
5	190.66	5	0.397	508.63414	0	0	39	37	11	10	28	5	139.2234	6	1	1	0.57	13	2.6984545455
0.83	46.01	2	5.2144	449.39332	0	0	34	31	5	4	21	1	134.2184	12	1	0	98	22	7.4904545455
1070	103.35	0	1.2677	383.41288	0	0	30	27	7	8	28	2	90.5215	0	0	1	6.5189642857	11	9.1641818182
2.5	89.16	3	0.1262	267.34402	0	0	21	21	6	4	14	1	74.8706	6	1	0	6.3	10	1.3427272727
9.3	25.84	1	2.6984	256.36268	0	0	22	21	3	1	10	0	80.8674	12	1	0	1.5	20	3.2136363636
0.15	57.2	0	5.3776	365.82952	0	0	29	26	2	3	14	3	100.0975	12	0	1	67	22	1.241169697
5.7	126.44	0	7.9831	929.14498	0	0	72	67	12	12	46	2	267.341	24	2	0	0.36	26	1.588369697
7.6	50.97	2	2.083	290.37736	0	0	24	22	4	3	17	1	85.4705	6	1	0	7.2	8.6	3.0130909091
35	143.72	4	-2.5868	244.20468	0	0	18	17	8	9	11	1	53.6428	6	0	0	0.22	10	7.2543636364
0.14	60.47	1	1.3712	308.41912	0	0	25	23	6	5	23	2	96.7744	0	1	1	14	8.6	1.2487
9	39.33	1	4.4496	382.9064	0	0	31	28	3	3	13	1	116.2297	17	1	0	24.7452857143	22	6.2830909091
2.4	73.8	1	3.1915	458.96106	0	0	36	33	7	7	22	3	140.2567	11	1	0	100	8.6	8.9848181818
10	182.48	7	0.6357	751.00036	0	0	56	54	14	12	55	1	202.9984	0	2	0	57	25	20.7701757576
2.5	176.28	3	-0.2541	460.48358	0	0	35	32	11	12	24	5	122.5356	6	0	1	1.7	13	0.2675454545
1.5	243.86	2	-0.859	433.4169	0	0	29	28	11	14	18	6	95.968	5	0	2	2.1	10	0.1869090909
18	95.92	2	1.2027	368.4479	0	0	28	28	9	7	20	2	99.8842	6	1	0	1.4	11	1.5131818182
3.1	112.85	3	3.7513	531.66422	0	0	42	39	10	9	33	3	151.1239	6	1	0	5.9	13	4.5548787879
36	106.97	1	4.0868	521.04218	0	0	39	36	7	7	33	6	135.7898	0	0	0	14.2923571429	8.6	3.5216363636
8.3	59.56	2	4.3331	382.4512032	0	1	32	29	4	4	15	1	112.0002	16	1	0	7.5	20	3.8753636364
2.8	94.83	3	1.8957	392.4610632	0	1	31	28	5	5	27	4	101.9564	0	0	0	7.9	10	1.1243181818
9.2	69.23	1	-0.0527	192.1913	0	0	14	14	3	4	6	2	48.8817	6	0	1	0.51	8.8	0.2634909091
3.4	55.3	2	1.3672	308.4357	0	0	25	24	5	3	19	0	90.1622	6	1	0	24	10	4.3875454546
5.5	64.53	2	1.558	346.44062	0	0	28	27	6	4	16	0	99.8202	12	1	0	2	11	4.1848181818
2.5	127.67	1	-1.9571	350.39282	0	0	27	24	6	8	19	3	88.7343	5	1	1	1.3	10	0.3856363636
10	119.36	2	-0.7438	326.29862	0	0	26	23	8	8	23	3	71.1996	0	0	0	4	8.8	1.8575454546
12	24.67	2	4.1145	312.469	0	0	27	24	2	1	20	1	100.7085	6	1	0	17	22	9.9792727273
17	35.18	2	2.6829	324.8456	0	0	26	24	4	2	19	1	97.3139	6	2	0	8.8	16	71.8514545455
3.7	64.53	2	1.3397	326.45098	0	0	25	25	6	4	19	0	93.3612	6	1	0	11	10	2.5618181818
9.6	129.71	1	5.24898	489.61242	1	0	39	35	7	7	14	2	139.1877	22	0	0	1.4	20	1.5944545455
19	124.44	4	1.5623	384.2372	0	0	29	28	9	8	15	2	105.3005	12	0	0	8.8	16	8.6838181818
2.1	154.03	2	5.3577	551.61406	0	0	42	39	11	11	16	2	144.9105	24	0	0	2.3	20	1.0831818182
0.51	54.35	1	2.2072	316.1527	0	0	21	19	4	4	7	2	83.5347	12	0	0	28	6.6	0.9321909091
1.3	83.22	1	2.1359	333.15674	0	0	21	20	3	4	7	2	78.0234	12	0	1	1.5	10	0.2508454545
13	68.79	3	1.6665	345.25532	0	0	21	21	5	4	14	1	86.2233	6	1	0	8.2785714286	10	2.8304545455
2	71.31	0	3.8397	393.6887	0	0	25	22	3	5	8	1	96.228	16	0	0	6	13	0.915
20	93.06	2	2.7168	430.53386	0	0	35	31	6	6	31	4	115.1826	0	0	0	3.2	8	3.9483030303
5.6	49.2	1	2.9232	308.39264	0	0	24	23	5	4	17	1	90.6142	6	1	0	3.9	10	2.1600909091
8.9	49.98	2	2.3905	262.36726	0	0	22	21	3	2	12	0	80.2472	10	1	0	5.7679285714	14	2.7299090909
2.5	129.93	2	3.5559	363.40816	0	0	26	25	6	7	11	3	92.6961	12	0	1	1.1	10	0.3906
